Location,January,February,March,April,May,June,July,August,September,October,November,December,Footnotes
United States,0.037,0.039,0.039,0.039,0.04,0.041,0.042,0.042,0.041,0.041,0.042,0.041,1
Alabama,0.029,0.03,0.03,0.031,0.03,0.029,0.028,0.028,0.029,0.029,0.031,0.033,
Alaska,0.046,0.046,0.046,0.046,0.045,0.045,0.045,0.046,0.045,0.046,0.046,0.047,
Arizona,0.042,0.041,0.038,0.036,0.034,0.033,0.034,0.034,0.035,0.036,0.037,0.038,
Arkansas,0.037,0.036,0.035,0.034,0.034,0.033,0.033,0.033,0.033,0.033,0.033,0.034,
California,0.052,0.053,0.053,0.053,0.052,0.052,0.052,0.053,0.053,0.054,0.054,0.055,
Colorado,0.034,0.035,0.037,0.037,0.038,0.038,0.039,0.04,0.04,0.041,0.043,0.044,
Connecticut,0.044,0.045,0.045,0.044,0.043,0.039,0.036,0.034,0.032,0.03,0.03,0.03,
Delaware,0.041,0.04,0.039,0.039,0.039,0.04,0.041,0.042,0.042,0.04,0.039,0.037,
District of Columbia,0.05,0.051,0.052,0.052,0.053,0.054,0.055,0.057,0.057,0.057,0.056,0.055,
Florida,0.031,0.031,0.032,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.034,0.034,
Georgia,0.031,0.031,0.031,0.031,0.032,0.033,0.034,0.036,0.036,0.036,0.037,0.037,
Hawaii,0.031,0.031,0.031,0.031,0.03,0.029,0.029,0.029,0.029,0.029,0.029,0.03,
Idaho,0.033,0.033,0.033,0.033,0.033,0.034,0.035,0.035,0.036,0.037,0.037,0.038,
Illinois,0.047,0.048,0.048,0.048,0.049,0.05,0.052,0.053,0.053,0.053,0.053,0.052,
Indiana,0.035,0.035,0.035,0.036,0.037,0.038,0.04,0.042,0.043,0.044,0.044,0.045,
Iowa,0.03,0.03,0.029,0.028,0.028,0.028,0.028,0.029,0.029,0.03,0.031,0.032,
Kansas,0.026,0.027,0.027,0.028,0.029,0.03,0.032,0.033,0.033,0.034,0.035,0.036,
Kentucky,0.043,0.044,0.045,0.046,0.046,0.046,0.047,0.048,0.049,0.05,0.051,0.052,
Louisiana,0.041,0.042,0.044,0.043,0.041,0.04,0.039,0.039,0.039,0.041,0.043,0.044,
Maine,0.034,0.034,0.033,0.031,0.03,0.028,0.028,0.028,0.028,0.029,0.031,0.032,
Maryland,0.023,0.024,0.025,0.026,0.027,0.028,0.028,0.029,0.029,0.03,0.031,0.031,
Massachusetts,0.03,0.029,0.029,0.029,0.03,0.032,0.035,0.037,0.038,0.039,0.04,0.041,
Michigan,0.04,0.039,0.039,0.039,0.039,0.041,0.044,0.045,0.045,0.046,0.048,0.05,
Minnesota,0.027,0.027,0.027,0.027,0.028,0.029,0.032,0.033,0.034,0.034,0.035,0.033,
Mississippi,0.032,0.031,0.03,0.028,0.028,0.028,0.027,0.027,0.028,0.029,0.031,0.033,
Missouri,0.033,0.033,0.033,0.034,0.035,0.037,0.038,0.039,0.039,0.038,0.037,0.037,
Montana,0.033,0.034,0.033,0.031,0.031,0.031,0.031,0.032,0.033,0.033,0.032,0.031,
Nebraska,0.025,0.025,0.025,0.025,0.025,0.026,0.026,0.027,0.027,0.027,0.028,0.028,
Nevada,0.053,0.052,0.051,0.051,0.051,0.052,0.054,0.055,0.056,0.057,0.057,0.057,
New Hampshire,0.026,0.026,0.026,0.026,0.025,0.025,0.025,0.026,0.025,0.025,0.025,0.026,
New Jersey,0.048,0.048,0.048,0.047,0.046,0.046,0.047,0.048,0.047,0.047,0.046,0.046,
New Mexico,0.04,0.039,0.038,0.038,0.038,0.039,0.04,0.041,0.042,0.043,0.044,0.044,
New York,0.045,0.044,0.043,0.042,0.042,0.042,0.043,0.044,0.044,0.044,0.044,0.044,
North Carolina,0.035,0.035,0.035,0.035,0.036,0.036,0.037,0.038,0.038,0.037,0.037,0.037,
North Dakota,0.019,0.02,0.02,0.02,0.02,0.021,0.022,0.023,0.023,0.024,0.024,0.025,
Ohio,0.037,0.037,0.038,0.04,0.042,0.044,0.045,0.045,0.045,0.043,0.043,0.044,
Oklahoma,0.035,0.036,0.035,0.035,0.035,0.034,0.035,0.034,0.034,0.033,0.033,0.033,
Oregon,0.041,0.042,0.042,0.042,0.042,0.041,0.041,0.04,0.04,0.04,0.04,0.041,
Pennsylvania,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.034,0.035,0.036,
Rhode Island,0.036,0.039,0.041,0.041,0.043,0.043,0.045,0.046,0.046,0.046,0.046,0.046,
South Carolina,0.03,0.031,0.031,0.032,0.034,0.036,0.039,0.043,0.045,0.047,0.048,0.047,
South Dakota,0.021,0.021,0.021,0.02,0.02,0.02,0.02,0.02,0.02,0.019,0.019,0.019,
Tennessee,0.035,0.033,0.032,0.031,0.03,0.03,0.03,0.031,0.032,0.033,0.035,0.036,
Texas,0.039,0.039,0.039,0.04,0.04,0.04,0.041,0.041,0.041,0.041,0.042,0.042,
Utah,0.028,0.028,0.028,0.028,0.029,0.03,0.032,0.033,0.035,0.035,0.035,0.035,
Vermont,0.023,0.023,0.022,0.021,0.021,0.021,0.021,0.022,0.022,0.023,0.024,0.024,
Virginia,0.03,0.03,0.029,0.028,0.027,0.027,0.027,0.028,0.029,0.029,0.03,0.03,
Washington,0.046,0.047,0.048,0.048,0.049,0.048,0.049,0.048,0.048,0.047,0.046,0.045,
West Virginia,0.043,0.043,0.043,0.043,0.042,0.041,0.042,0.042,0.042,0.042,0.042,0.042,
Wisconsin,0.032,0.03,0.03,0.029,0.029,0.029,0.03,0.029,0.029,0.029,0.029,0.03,
Wyoming,0.028,0.028,0.028,0.028,0.029,0.029,0.029,0.03,0.031,0.032,0.033,0.035,
Puerto Rico,0.057,0.057,0.058,0.058,0.058,0.058,0.058,0.057,0.055,0.054,0.054,0.054,